Category,Description,Nutrient Data Bank Number,Carbohydrate,Cholesterol,Choline,Protein,SugarTotal,Water,MonosaturatedFat,FatPolysaturated,SaturatedFat,Fat,Vitamin
Milk,"Milk, human",11000000,6.89,14,16,1.03,6.89,87.5,1.658,0.497,2.009,4.38,61
Milk,"Milk, NFS",11100000,4.87,8,17.9,3.34,4.89,89.04,0.426,0.065,1.164,1.99,59
Milk,"Milk, whole",11111000,4.67,12,17.8,3.28,4.81,88.1,0.688,0.108,1.86,3.2,32
Milk,"Milk, low sodium, whole",11111100,4.46,14,16,3.1,4.46,88.2,0.999,0.128,2.154,3.46,29
Milk,"Milk, calcium fortified, whole",11111150,4.67,12,17.8,3.28,4.81,88.1,0.688,0.108,1.86,3.2,32
Milk,"Milk, calcium fortified, low fat (1%)",11111160,5.19,5,17.4,3.38,4.96,89.7,0.21,0.032,0.568,0.95,58
Milk,"Milk, calcium fortified, fat free (skim)",11111170,4.85,2,16,3.4,4.85,90.8,0.047,0.007,0.117,0.18,137
Milk,"Milk, reduced fat (2%)",11112110,4.91,8,18.2,3.35,4.89,89.1,0.4,0.058,1.11,1.9,83
Milk,"Milk, acidophilus, low fat (1%)",11112120,5.19,5,17.4,3.38,4.96,89.7,0.21,0.032,0.568,0.95,58
Milk,"Milk, acidophilus, reduced fat (2%)",11112130,4.91,8,18.2,3.35,4.89,89.1,0.4,0.058,1.11,1.9,83
Milk,"Milk, low fat (1%)",11112210,5.19,5,17.4,3.38,4.96,89.7,0.21,0.032,0.568,0.95,58
Milk,"Milk, fat free (skim)",11113000,4.89,3,18.2,3.43,5.05,90.8,0.017,0.006,0.049,0.08,64
Milk,"Milk, lactose free, low fat (1%)",11114300,5.19,5,17.4,3.38,4.96,89.7,0.21,0.032,0.568,0.95,58
Milk,"Milk, lactose free, fat free (skim)",11114320,4.89,3,18.2,3.43,5.05,90.8,0.017,0.006,0.049,0.08,64
Milk,"Milk, lactose free, reduced fat (2%)",11114330,4.91,8,18.2,3.35,4.89,89.1,0.4,0.058,1.11,1.9,83
Milk,"Milk, lactose free, whole",11114350,4.67,12,17.8,3.28,4.81,88.1,0.688,0.108,1.86,3.2,32
Buttermilk,"Buttermilk, fat free (skim)",11115000,4.79,4,17.7,3.31,4.79,90.13,0.254,0.033,0.66,1.07,14
Buttermilk,"Buttermilk, low fat (1%)",11115100,4.79,4,17.7,3.31,4.79,90.13,0.254,0.033,0.66,1.07,14
Buttermilk,"Buttermilk, reduced fat (2%)",11115200,5.3,8,16,4.1,5.3,87.7,0.576,0.071,1.242,2,16
Buttermilk,"Buttermilk, whole",11115300,4.88,11,14.6,3.21,4.88,87.91,0.827,0.198,1.899,3.31,47
Kefir,"Kefir, NS as to fat content",11115400,7.48,5,15.2,3.59,6.91,87.26,0.286,0.047,0.596,0.96,174
Goat's milk,"Goat's milk, whole",11116000,4.45,11,16,3.56,4.45,87.03,1.109,0.149,2.667,4.14,57
Milk,"Milk, dry, reconstituted, NS as to fat content",11120000,4.6,2,15,3.2,4.6,91.34,0.018,0.003,0.044,0.07,58
Milk,"Milk, dry, reconstituted, whole",11121100,5.86,15,18.2,4.01,5.86,85.04,1.209,0.101,2.554,4.08,39
Milk,"Milk, dry, reconstituted, low fat (1%)",11121210,4.55,4,15,3.17,4.55,90.48,0.291,0.038,0.633,1.01,65
Milk,"Milk, dry, reconstituted, fat free (skim)",11121300,4.6,2,15,3.2,4.6,91.34,0.018,0.003,0.044,0.07,1
Milk,"Milk, evaporated, NS as to fat content",11210050,10.04,29,31.8,6.81,10.04,74.04,2.335,0.245,4.591,7.56,65
Milk,"Milk, evaporated, whole",11211050,10.04,29,31.8,6.81,10.04,74.04,2.335,0.245,4.591,7.56,65
Milk,"Milk, evaporated, reduced fat (2%)",11211400,11.15,8,25.1,7.42,11.15,78,0.569,0.071,1.214,1.96,131
Milk,"Milk, evaporated, fat free (skim)",11212050,11.35,4,25.2,7.55,11.35,79.4,0.062,0.006,0.121,0.2,118
Milk,"Milk, condensed, sweetened",11220000,54.4,34,89.1,7.91,54.4,27.16,2.427,0.337,5.486,8.7,74
Non-dairy milk,"Non-dairy milk, NFS",11300100,3.75,0,9,1.04,3.03,93.33,0.485,0.408,0.237,1.17,77
Soy milk,Soy milk,11320000,4.92,0,23.6,2.6,3.65,90.36,0.382,0.858,0.205,1.47,55
Soy milk,"Soy milk, light",11320100,3.51,0,12.3,2.38,2.61,92.69,0.202,0.426,0.005,0.77,61
Soy milk,"Soy milk, nonfat",11320200,4.14,0,17.9,2.47,3.65,92.67,0,0.036,0,0.04,61
Soy milk,"Soy milk, chocolate",11321000,9.95,0,23.6,2.26,7.86,85.61,0.379,0.836,0.24,1.53,70
Soy milk,"Soy milk, light, chocolate",11321100,8.24,0,28.4,2.1,7.13,88.38,0.037,0.405,0.032,0.64,61
Soy milk,"Soy milk, nonfat, chocolate",11321200,8.24,0,28.4,2.1,7.13,88.38,0.037,0.405,0.032,0.64,61
Almond milk,"Almond milk, sweetened",11350000,5.24,0,3,0.38,4.77,92.68,0.566,0.23,0.077,0.93,86
Almond milk,"Almond milk, sweetened, chocolate",11350010,8.34,0,2.9,0.43,7.72,89.52,0.561,0.224,0.098,0.95,83
Almond milk,"Almond milk, unsweetened",11350020,1.31,0,3.1,0.4,0.81,96.54,0.59,0.24,0.08,0.96,90
Almond milk,"Almond milk, unsweetened, chocolate",11350030,1.48,0,3.1,0.46,0.81,96.26,0.602,0.241,0.104,1,90
Rice milk,Rice milk,11360000,9.17,0,2.1,0.28,5.28,89.28,0.625,0.313,0,0.97,63
Coconut milk,Coconut milk,11370000,2.92,0,0,0.21,2.5,94.57,0,0,2.083,2.08,63
Yogurt,"Yogurt, NFS",11400000,7.04,6,15.2,5.25,7.04,85.06,0.426,0.044,1,1.55,14
Yogurt,"Yogurt, Greek, NS as to type of milk or flavor",11400010,3.94,10,15.2,9.95,3.56,83.56,0.486,0.076,1.23,1.92,90
Yogurt,"Yogurt, NS as to type of milk or flavor",11410000,7.04,6,15.2,5.25,7.04,85.06,0.426,0.044,1,1.55,14
Yogurt,"Yogurt, NS as to type of milk, plain",11411010,7.04,6,15.2,5.25,7.04,85.06,0.426,0.044,1,1.55,14
Yogurt,"Yogurt, whole milk, plain",11411100,4.66,13,15.2,3.47,4.66,87.89,0.893,0.092,2.096,3.25,27
Yogurt,"Yogurt, low fat milk, plain",11411200,7.04,6,15.2,5.25,7.04,85.06,0.426,0.044,1,1.55,14
Yogurt,"Yogurt, nonfat milk, plain",11411300,7.68,2,15.2,5.73,7.68,85.22,0.049,0.005,0.116,0.18,2
Yogurt,"Yogurt, Greek, NS as to type of milk, plain",11411390,3.94,10,15.2,9.95,3.56,83.56,0.486,0.076,1.23,1.92,90
Yogurt,"Yogurt, Greek, whole milk, plain",11411400,3.98,13,15.1,9,4,81.3,2.136,0.469,2.395,5,2
Yogurt,"Yogurt, Greek, low fat milk, plain",11411410,3.94,10,15.2,9.95,3.56,83.56,0.486,0.076,1.23,1.92,90
Yogurt,"Yogurt, Greek, nonfat milk, plain",11411420,3.64,5,15.1,10.3,3.27,85,0.043,0.011,0.108,0.37,1
Yogurt,"Yogurt, NS as to type of milk, fruit",11430000,14.46,5,14.6,4.66,12.01,78.51,0.379,0.039,0.881,1.37,12
Yogurt,"Yogurt, whole milk, fruit",11431000,12.36,11,14.6,3.1,9.92,81,0.79,0.081,1.845,2.87,24
Yogurt,"Yogurt, low fat milk, fruit",11432000,14.46,5,14.6,4.66,12.01,78.51,0.379,0.039,0.881,1.37,12
Yogurt,"Yogurt, nonfat milk, fruit",11433000,15.02,2,14.6,5.09,12.58,78.65,0.048,0.004,0.103,0.17,2
Yogurt,"Yogurt, Greek, NS as to type of milk, fruit",11433990,12.29,12,14,8.17,11.23,76.41,0.65,0.113,1.599,2.57,31
Yogurt,"Yogurt, Greek, whole milk, fruit",11434000,12.29,10,14.3,7.33,12,76.81,1.265,0.219,1.599,3,46
Yogurt,"Yogurt, Greek, low fat milk, fruit",11434010,12.29,12,14,8.17,11.23,76.41,0.65,0.113,1.599,2.57,31
Yogurt,"Yogurt, Greek, nonfat milk, fruit",11434020,12.2,4,14,8.06,11.5,79,0.029,0.021,0.103,0.15,0
Yogurt,"Yogurt, NS as to type of milk, flavors other than fruit",11434090,9.82,6,14.7,5.09,9.82,82.51,0.413,0.043,0.97,1.51,14
Yogurt,"Yogurt, whole milk, flavors other than fruit",11434100,9.41,12,14.4,3.3,9.42,83.5,0.848,0.087,1.991,3.1,26
Yogurt,"Yogurt, low fat milk, flavors other than fruit",11434200,9.82,6,14.7,5.09,9.82,82.51,0.413,0.043,0.97,1.51,14
Yogurt,"Yogurt, nonfat milk, flavors other than fruit",11434300,10.44,2,14.7,5.56,10.44,82.66,0.048,0.005,0.113,0.18,2
Yogurt,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",11435000,9.54,5,33.4,8.64,9.54,78.76,0.846,0.203,1.465,2.5,110
Yogurt,"Yogurt, Greek, whole milk, flavors other than fruit",11435010,9.35,10,33.2,8.47,9.35,77.19,1.404,0.273,2.674,4.44,125
Yogurt,"Yogurt, Greek, low fat milk, flavors other than fruit",11435020,9.54,5,33.4,8.64,9.54,78.76,0.846,0.203,1.465,2.5,110
Yogurt,"Yogurt, Greek, nonfat milk, flavors other than fruit",11435030,10.37,3,15.2,8.64,9.54,80.26,0.039,0.009,0.133,0.18,0
Yogurt,"Yogurt, Greek, with oats",11435100,22.38,4,31.8,8.9,12.07,63.61,1.629,0.915,1.478,4.29,88
Yogurt,"Yogurt, liquid",11436000,11.81,4,11.7,3.71,9.78,82.57,0.302,0.031,0.701,1.09,10
Chipotle dip,"Chipotle dip, yogurt based",11440010,3.33,16,18.6,7.93,2.97,70.61,3.638,8.716,3.219,15.99,74
Dill dip,"Dill dip, yogurt based",11440020,3.76,16,19.4,8.16,2.99,69.81,3.645,8.742,3.232,16.03,74
Onion dip,"Onion dip, yogurt based",11440030,4.07,14,17.7,6.82,3.38,74.42,2.928,6.865,2.713,12.88,66
Ranch dip,"Ranch dip, yogurt based",11440040,4.13,17,20.5,8.48,3.41,69,3.661,8.744,3.267,16.09,74
Spinach dip,"Spinach dip, yogurt based",11440050,3.6,14,19.1,7.02,3.04,74.55,2.927,6.892,2.721,12.94,112
Tzatziki dip,Tzatziki dip,11440060,3.95,7,11,5.35,2.92,83.08,3.724,0.641,1.838,6.31,3
Vegetable dip,"Vegetable dip, yogurt based",11440070,3.76,16,19.4,8.16,2.99,69.81,3.645,8.742,3.232,16.03,74
Yogurt parfait,"Yogurt parfait, low fat, with fruit",11446000,15.86,3,11.9,3.36,11.68,78.97,0.307,0.122,0.525,1.01,30
Frozen yogurt,"Frozen yogurt, NFS",11459990,21.6,13,23.1,3,19.92,71.2,0.986,0.1,2.326,3.6,49
Frozen yogurt,"Frozen yogurt, vanilla",11460000,21.6,13,23.1,3,19.92,71.2,0.986,0.1,2.326,3.6,49
Frozen yogurt,"Frozen yogurt, chocolate",11460100,21.6,13,14.1,3,19.24,71.2,0.961,0.102,2.272,3.6,39
Frozen yogurt,"Frozen yogurt, soft serve, vanilla",11460500,24.2,2,20.2,4,24,65.3,1.59,0.21,3.42,5.6,59
Frozen yogurt,"Frozen yogurt, soft serve, chocolate",11460510,24.87,2,20,4.31,23.56,64.05,1.65,0.215,3.513,5.76,58
Frozen yogurt sandwich,Frozen yogurt sandwich,11461200,34.38,10,20.9,3.9,24.3,54.52,1.956,1.113,2.805,6.25,38
Frozen yogurt bar,"Frozen yogurt bar, vanilla",11461210,21.6,13,23.1,3,19.92,71.2,0.986,0.1,2.326,3.6,49
Frozen yogurt bar,"Frozen yogurt bar, chocolate",11461220,21.6,13,14.1,3,19.24,71.2,0.961,0.102,2.272,3.6,39
Frozen yogurt cone,"Frozen yogurt cone, chocolate",11461250,23.9,12,13.9,3.2,18.71,68.56,0.996,0.228,2.23,3.73,37
Frozen yogurt cone,"Frozen yogurt cone, vanilla",11461260,23.9,12,22.6,3.2,19.36,68.56,1.02,0.227,2.282,3.73,47
Frozen yogurt cone,"Frozen yogurt cone, vanilla, waffle cone",11461300,25.28,12,22.2,3.29,20.26,67.19,1.014,0.18,2.223,3.61,46
Frozen yogurt cone,"Frozen yogurt cone, chocolate, waffle cone",11461320,25.28,12,13.8,3.29,19.62,67.19,0.991,0.181,2.172,3.61,37
Yogurt,"Yogurt, whole milk, baby food",11480010,4.66,13,15.2,3.47,4.66,87.89,0.893,0.092,2.096,3.25,27
Yogurt,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",11480020,13.22,14,14.2,3.4,11.46,79.16,0.916,0.367,1.84,3.53,24
Yogurt,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",11480030,13,10,13.4,3.05,11.46,80.21,0.74,0.405,1.582,3.08,22
Yogurt,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",11480040,13.22,14,14.2,3.4,11.46,79.16,0.916,0.367,1.84,3.53,24
Chocolate milk,"Chocolate milk, NFS",11511000,13.46,2,15.6,3.39,8.39,82.34,0,0,0,0,64
Chocolate milk,"Chocolate milk, ready to drink, whole",11511100,10.34,12,17,3.17,9.54,82.3,0.99,0.124,2.104,3.39,27
Chocolate milk,"Chocolate milk, ready to drink, reduced fat",11511200,12.13,8,17.1,2.99,9.55,82.17,0.455,0.089,1.177,1.9,64
Chocolate milk,"Chocolate milk, ready to drink, fat free",11511300,13.46,2,15.6,3.39,8.39,82.34,0,0,0,0,64
Chocolate milk,"Chocolate milk, ready to drink, low fat",11511400,10.15,5,17,3.46,9.94,84.5,0.3,0.049,0.616,1.11,52
Chocolate milk,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",11511550,7.68,5,15.2,3.43,7.29,87.09,0.29,0.054,0.616,1.04,96
